law_p,Kernel,parametre,var_hk
normal_0_0,gaussian,0.25,0.21926475426671285
normal_0_0,gaussian,0.5,0.2314465032279519
normal_0_0,gaussian,1.0,0.13874126103068918
normal_0_0,gaussian,2.0,0.09074908300456178
normal_0_0,gaussian,5.0,0.03711793417063943
normal_0_0,laplacian,0.25,0.03246785188788033
normal_0_0,laplacian,0.5,0.07104724422272005
normal_0_0,laplacian,1.0,0.10525137786904488
normal_0_0,laplacian,2.0,0.11182134118723364
normal_0_0,laplacian,5.0,0.10047509766814007
normal_0_10,gaussian,0.25,0.1354228113554904
normal_0_10,gaussian,0.5,0.16102332654890456
normal_0_10,gaussian,1.0,0.16129654581417865
normal_0_10,gaussian,2.0,0.20063521940727472
normal_0_10,gaussian,5.0,0.16866688126926974
normal_0_10,laplacian,0.25,0.11295236121598332
normal_0_10,laplacian,0.5,0.12353516486911695
normal_0_10,laplacian,1.0,0.1178116930395607
normal_0_10,laplacian,2.0,0.06099373301135313
normal_0_10,laplacian,5.0,0.02686772855913051
normal_3_0,gaussian,0.25,0.17726339122389068
normal_3_0,gaussian,0.5,0.18835845138011553
normal_3_0,gaussian,1.0,0.14904114680884153
normal_3_0,gaussian,2.0,0.09498718829613421
normal_3_0,gaussian,5.0,0.03487826629700511
normal_3_0,laplacian,0.25,0.020558091852827896
normal_3_0,laplacian,0.5,0.057075961315914046
normal_3_0,laplacian,1.0,0.10105856574148642
normal_3_0,laplacian,2.0,0.11842924708967285
normal_3_0,laplacian,5.0,0.093562115967501
normal_3_10,gaussian,0.25,0.12280969560314879
normal_3_10,gaussian,0.5,0.13961908557456357
normal_3_10,gaussian,1.0,0.2203791222645059
normal_3_10,gaussian,2.0,0.20612833673985123
normal_3_10,gaussian,5.0,0.1857011286517143
normal_3_10,laplacian,0.25,0.09550629637337887
normal_3_10,laplacian,0.5,0.11997715154169698
normal_3_10,laplacian,1.0,0.10848620733541889
normal_3_10,laplacian,2.0,0.0625009071823213
normal_3_10,laplacian,5.0,0.030832169424810887
